userid,wallclock_runtime_sec,wallclock_limit_sec,cpu_dominant,num_cores,total_MB_req,status,time,job_id
0,1066.0414067709705,0,1,1,4096,DONE,2025-01-01 00:00:04.675636182,0
0,742.0638707515069,0,1,1,4096,DONE,2025-01-01 00:00:04.974178797,1
0,192.25414386975942,0,1,1,4096,DONE,2025-01-01 00:00:17.027849033,2
0,112.78143914001724,0,1,1,4096,DONE,2025-01-01 00:00:28.444567382,3
0,196.14552140666817,0,1,1,4096,DONE,2025-01-01 00:00:44.740747771,4
0,1294.7644480765134,0,1,1,4096,DONE,2025-01-01 00:00:45.985543470,5
0,802.1744433699868,0,1,1,4096,DONE,2025-01-01 00:00:51.414580838,6
0,9.725825192549898,0,1,1,4096,DONE,2025-01-01 00:00:51.517883785,7
0,554.2037181908994,0,1,1,4096,DONE,2025-01-01 00:00:53.438524434,8
0,286.3157528703395,0,1,1,4096,DONE,2025-01-01 00:00:57.530026836,9
0,147.23523802081812,0,1,1,4096,DONE,2025-01-01 00:00:57.662312908,10
0,1545.18275083872,0,1,1,4096,DONE,2025-01-01 00:01:02.019748782,11
0,549.4533004569846,0,1,1,4096,DONE,2025-01-01 00:01:05.169556979,12
0,594.3343931949288,0,1,1,4096,DONE,2025-01-01 00:01:07.575828558,13
0,564.9908546654326,0,1,1,4096,DONE,2025-01-01 00:01:09.624496115,14
0,365.2579488605333,0,1,1,4096,DONE,2025-01-01 00:01:14.164414246,15
0,548.7472081595921,0,1,1,4096,DONE,2025-01-01 00:01:15.973737498,16
0,17.525947081443835,0,1,1,4096,DONE,2025-01-01 00:01:16.165235926,17
0,309.7435631154006,0,1,1,4096,DONE,2025-01-01 00:01:24.642539544,18
0,343.4211564568076,0,1,1,4096,DONE,2025-01-01 00:01:29.644253514,19
0,1328.316391730725,0,1,1,4096,DONE,2025-01-01 00:01:33.254842493,20
0,259.0572137108013,0,1,1,4096,DONE,2025-01-01 00:01:39.049672035,21
0,550.0637550673914,0,1,1,4096,DONE,2025-01-01 00:01:39.453500360,22
0,96.01315731701001,0,1,1,4096,DONE,2025-01-01 00:01:40.945272974,23
0,342.36246003261766,0,1,1,4096,DONE,2025-01-01 00:01:41.910416768,24
0,1752.1781045335404,0,1,1,4096,DONE,2025-01-01 00:01:43.290396052,25
0,967.7029443545598,0,1,1,4096,DONE,2025-01-01 00:01:47.021056434,26
0,303.5320028715439,0,1,1,4096,DONE,2025-01-01 00:01:49.840207291,27
0,1497.550442421031,0,1,1,4096,DONE,2025-01-01 00:01:51.570633160,28
0,419.97201677257283,0,1,1,4096,DONE,2025-01-01 00:02:12.768921734,29
0,80.58954224137017,0,1,1,4096,DONE,2025-01-01 00:02:17.403409813,30
0,443.6669954566301,0,1,1,4096,DONE,2025-01-01 00:02:25.269787515,31
0,952.5405151506386,0,1,1,4096,DONE,2025-01-01 00:02:25.905983163,32
0,1078.102076962324,0,1,1,4096,DONE,2025-01-01 00:02:36.058619389,33
0,60.51208504021081,0,1,1,4096,DONE,2025-01-01 00:02:42.033349188,34
0,84.05694777826521,0,1,1,4096,DONE,2025-01-01 00:02:49.393272511,35
0,136.4822589873263,0,1,1,4096,DONE,2025-01-01 00:02:50.345369974,36
0,495.327332536225,0,1,1,4096,DONE,2025-01-01 00:02:50.799455982,37
0,1468.1666737142339,0,1,1,4096,DONE,2025-01-01 00:02:54.342305957,38
0,135.0228236517258,0,1,1,4096,DONE,2025-01-01 00:02:57.367322889,39
0,264.6074519504537,0,1,1,4096,DONE,2025-01-01 00:02:58.570290636,40
0,151.65599439877508,0,1,1,4096,DONE,2025-01-01 00:03:03.954068798,41
0,778.1046498827126,0,1,1,4096,DONE,2025-01-01 00:03:15.107833763,42
0,189.7505990682876,0,1,1,4096,DONE,2025-01-01 00:03:20.781569267,43
0,805.647487543854,0,1,1,4096,DONE,2025-01-01 00:03:31.739777973,44
0,1731.132226518024,0,1,1,4096,DONE,2025-01-01 00:03:50.729830877,45
0,235.63088789425822,0,1,1,4096,DONE,2025-01-01 00:03:56.343690714,46
0,882.798523221954,0,1,1,4096,DONE,2025-01-01 00:04:19.366330968,47
0,1173.646288907115,0,1,1,4096,DONE,2025-01-01 00:04:32.524715204,48
0,341.00366079534047,0,1,1,4096,DONE,2025-01-01 00:04:40.723964217,49
0,290.929426554105,0,1,1,4096,DONE,2025-01-01 00:04:57.110999050,50
0,1592.32561227488,0,1,1,4096,DONE,2025-01-01 00:04:58.756867385,51
0,640.5682914239478,0,1,1,4096,DONE,2025-01-01 00:05:01.850334576,52
0,45.71612438752285,0,1,1,4096,DONE,2025-01-01 00:05:04.031366128,53
0,387.80057721380496,0,1,1,4096,DONE,2025-01-01 00:05:14.455522671,54
0,373.8976592634279,0,1,1,4096,DONE,2025-01-01 00:05:25.505227936,55
0,282.2430254305646,0,1,1,4096,DONE,2025-01-01 00:05:29.477698898,56
0,622.277437022501,0,1,1,4096,DONE,2025-01-01 00:05:37.994755175,57
0,609.581137607063,0,1,1,4096,DONE,2025-01-01 00:05:44.297018103,58
0,833.0235229961461,0,1,1,4096,DONE,2025-01-01 00:05:50.166035831,59
0,752.8314707884812,0,1,1,4096,DONE,2025-01-01 00:05:50.574227415,60
0,178.47262151592486,0,1,1,4096,DONE,2025-01-01 00:06:00.994821549,61
0,111.17491937512605,0,1,1,4096,DONE,2025-01-01 00:06:26.980877430,62
0,728.5940664433481,0,1,1,4096,DONE,2025-01-01 00:06:34.051675750,63
0,679.9305042211371,0,1,1,4096,DONE,2025-01-01 00:06:35.919794327,64
0,676.5950695236212,0,1,1,4096,DONE,2025-01-01 00:06:37.214797420,65
0,328.44845061649187,0,1,1,4096,DONE,2025-01-01 00:06:38.447240737,66
0,333.12483497319187,0,1,1,4096,DONE,2025-01-01 00:06:43.502160705,67
0,739.2017904172403,0,1,1,4096,DONE,2025-01-01 00:06:46.423979520,68
0,92.60323270617752,0,1,1,4096,DONE,2025-01-01 00:06:49.833062234,69
0,273.90295758595374,0,1,1,4096,DONE,2025-01-01 00:06:50.999889041,70
0,182.38194429420767,0,1,1,4096,DONE,2025-01-01 00:06:51.385247292,71
0,658.3215687122635,0,1,1,4096,DONE,2025-01-01 00:06:54.346313745,72
0,163.7419662097567,0,1,1,4096,DONE,2025-01-01 00:06:55.054617880,73
0,290.95122096654876,0,1,1,4096,DONE,2025-01-01 00:06:56.751462422,74
0,218.6373337909252,0,1,1,4096,DONE,2025-01-01 00:07:03.099931025,75
0,147.85632883224133,0,1,1,4096,DONE,2025-01-01 00:07:07.487376568,76
0,118.79052452886998,0,1,1,4096,DONE,2025-01-01 00:07:35.749737335,77
0,1051.7340492677793,0,1,1,4096,DONE,2025-01-01 00:07:39.411060331,78
0,445.94217983465893,0,1,1,4096,DONE,2025-01-01 00:07:41.086286033,79
0,86.95507869498084,0,1,1,4096,DONE,2025-01-01 00:07:46.133963394,80
0,1670.0139978233478,0,1,1,4096,DONE,2025-01-01 00:07:47.025163751,81
0,208.45704146456137,0,1,1,4096,DONE,2025-01-01 00:07:47.562661069,82
0,14.521988686205814,0,1,1,4096,DONE,2025-01-01 00:07:50.146658709,83
0,145.72755227261536,0,1,1,4096,DONE,2025-01-01 00:07:55.835343012,84
0,307.1994147575756,0,1,1,4096,DONE,2025-01-01 00:07:56.748572571,85
